code,field,university,avg_pref_success,base_2019,base_2020,base_2021,base_2022,base_2023,base_2024,base_2025,base_2026
169,1/2/3/4,ΠΑΝ. ΠΑΤΡΩΝ,5.0,10190.0,8250.0,9509.0,10070.0,10670.0,9320.0,9040.0,9645.0
170,1,ΠΑΝΤΕΙΟ,2.0,17285.0,17550.0,17584.0,17170.0,17520.0,17290.0,17100.0,17080.0
171,1,ΕΚΠΑ,1.0,17608.0,17875.0,18007.0,17420.0,17845.0,17595.0,17475.0,17395.0
172,1,ΑΠΘ,1.0,17529.0,17725.0,17767.0,16985.0,17565.0,17340.0,17150.0,17040.0
173,1/2/3/4,ΕΚΠΑ,4.0,12036.0,11775.0,11126.0,11372.0,11096.0,10966.0,10810.0,10674.0
174,1,ΠΑΝ. ΜΑΚΕΔ.,3.0,15816.0,15900.0,15614.0,14075.0,14425.0,13725.0,13550.0,13450.0
175,1,ΠΑΝ. ΠΑΤΡΩΝ,4.0,12599.0,11525.0,10552.0,11230.0,10800.0,10750.0,10060.0,9790.0
176,1/4,ΠΑΝ. ΜΑΚΕΔ.,3.0,14021.0,12950.0,12267.0,12430.0,12670.0,11840.0,12240.0,12110.0
177,1,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3.0,12956.0,11275.0,11216.0,10150.0,10550.0,10000.0,9775.0,9675.0
178,1/2/3/4,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3.0,15685.0,15725.0,15188.0,14375.0,14150.0,13100.0,13050.0,12425.0
179,1/4,ΠΑΝΤΕΙΟ,3.0,17602.0,17695.0,16906.0,16560.0,17140.0,16480.0,17040.0,16860.0
180,4,ΠΑΝ. ΑΙΓΑΙΟΥ,3.0,9753.0,8000.0,9682.0,9620.0,10150.0,9850.0,9890.0,10720.0
181,1/4,ΠΑΝ. ΑΙΓΑΙΟΥ,5.0,9087.0,7150.0,8538.0,9105.0,9040.0,8765.0,8798.0,8534.0
182,1,ΕΚΠΑ,2.0,6980.0,4400.0,10665.0,11310.0,13170.0,12515.0,12245.0,11420.0
183,1,ΕΚΠΑ,2.0,6817.0,8945.0,10830.0,11510.0,12270.0,12630.0,11545.0,12710.0
187,1,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,5.0,11975.0,11150.0,10553.0,10370.0,10430.0,10230.0,10540.0,10320.0
188,1,ΕΚΠΑ,4.0,11577.0,10425.0,10734.0,11240.0,11900.0,11090.0,11250.0,11060.0
189,1,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,5.0,10375.0,8900.0,9526.0,10210.0,9510.0,9590.0,8900.0,8730.0
190,3,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,5.0,11495.0,8600.0,9966.0,10570.0,10270.0,11950.0,9755.0,10195.0
192,1,ΕΚΠΑ,3.0,13691.0,12275.0,11309.0,11095.0,11120.0,10770.0,10225.0,10345.0
200,2/3,ΠΑΝ. ΚΡΗΤΗΣ,5.0,6374.0,4175.0,9391.0,9645.0,9975.0,9640.0,10780.0,11020.0
201,2,ΕΜΠ,2.0,16385.0,16400.0,17076.0,17094.0,17497.0,16832.0,17265.0,18088.0
203,2,ΑΠΘ,3.0,14467.0,14850.0,15584.0,15205.0,15910.0,15355.0,15850.0,17055.0
205,2,ΠΑΝ. ΠΑΤΡΩΝ,4.0,13460.0,13650.0,14289.0,13995.0,14750.0,14285.0,14545.0,16320.0
