code,field,university,avg_pref_success,diff_20_19,diff_21_20,diff_22_21,diff_23_22,diff_24_23,diff_25_24,diff_26_25
155,4,ΠΑΝ. ΠΕΙΡΑΙΑ,3.0,-169.0,-172.0,197.0,425.0,-225.0,300.0,150.0
156,1/2/3/4,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,-699.0,191.0,79.0,525.0,-200.0,-65.0,-265.0
157,4,ΠΑΝ. ΠΕΙΡΑΙΑ,2.0,-1.0,-653.0,1723.0,840.0,440.0,890.0,390.0
158,1/2/3/4,ΠΑΝ. ΚΡΗΤΗΣ,4.0,-953.0,203.0,557.0,560.0,120.0,-440.0,-340.0
159,1/4,ΠΑΝΤΕΙΟ,4.0,314.0,-1165.0,-350.0,700.0,-550.0,220.0,-20.0
160,1/2/3/4,ΔΠΘ,5.0,-1300.0,414.0,-14.0,600.0,125.0,-300.0,-350.0
161,1/4,ΠΑΝ. ΜΑΚΕΔ.,2.0,698.0,-418.0,1058.0,530.0,90.0,400.0,-660.0
162,1/2/3/4,ΠΑΝ. ΑΙΓΑΙΟΥ,6.0,-1553.0,535.0,65.0,450.0,225.0,-375.0,-300.0
163,1/2/3/4,ΑΠΘ,2.0,-493.0,228.0,372.0,-50.0,-325.0,150.0,-500.0
164,1/2/3/4,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3.0,-61.0,516.0,-491.0,800.0,75.0,-75.0,-575.0
165,1,ΠΑΝΤΕΙΟ,4.0,-137.0,-740.0,-600.0,720.0,-720.0,-160.0,-80.0
166,1/2/3/4,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,4.0,-673.0,76.0,-126.0,550.0,-275.0,100.0,-350.0
167,1,ΠΑΝ. ΑΙΓΑΙΟΥ,6.0,-2182.0,553.0,347.0,570.0,-260.0,115.0,-75.0
168,1/2/3/4,ΑΠΘ,2.0,-635.0,-741.0,141.0,475.0,-1250.0,-200.0,-300.0
169,1/2/3/4,ΠΑΝ. ΠΑΤΡΩΝ,5.0,-1940.0,1259.0,561.0,600.0,-1350.0,-280.0,605.0
170,1,ΠΑΝΤΕΙΟ,2.0,265.0,34.0,-414.0,350.0,-230.0,-190.0,-20.0
171,1,ΕΚΠΑ,1.0,267.0,132.0,-587.0,425.0,-250.0,-120.0,-80.0
172,1,ΑΠΘ,1.0,196.0,42.0,-782.0,580.0,-225.0,-190.0,-110.0
173,1/2/3/4,ΕΚΠΑ,4.0,-261.0,-649.0,246.0,-276.0,-130.0,-156.0,-136.0
174,1,ΠΑΝ. ΜΑΚΕΔ.,3.0,84.0,-286.0,-1539.0,350.0,-700.0,-175.0,-100.0
175,1,ΠΑΝ. ΠΑΤΡΩΝ,4.0,-1074.0,-973.0,678.0,-430.0,-50.0,-690.0,-270.0
176,1/4,ΠΑΝ. ΜΑΚΕΔ.,3.0,-1071.0,-683.0,163.0,240.0,-830.0,400.0,-130.0
177,1,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3.0,-1681.0,-59.0,-1066.0,400.0,-550.0,-225.0,-100.0
178,1/2/3/4,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3.0,40.0,-537.0,-813.0,-225.0,-1050.0,-50.0,-625.0
179,1/4,ΠΑΝΤΕΙΟ,3.0,93.0,-789.0,-346.0,580.0,-660.0,560.0,-180.0
180,4,ΠΑΝ. ΑΙΓΑΙΟΥ,3.0,-1753.0,1682.0,-62.0,530.0,-300.0,40.0,830.0
181,1/4,ΠΑΝ. ΑΙΓΑΙΟΥ,5.0,-1937.0,1388.0,567.0,-65.0,-275.0,33.0,-264.0
182,1,ΕΚΠΑ,2.0,-2580.0,6265.0,645.0,1860.0,-655.0,-270.0,-825.0
183,1,ΕΚΠΑ,2.0,2128.0,1885.0,680.0,760.0,360.0,-1085.0,1165.0
187,1,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,5.0,-825.0,-597.0,-183.0,60.0,-200.0,310.0,-220.0
188,1,ΕΚΠΑ,4.0,-1152.0,309.0,506.0,660.0,-810.0,160.0,-190.0
189,1,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,5.0,-1475.0,626.0,684.0,-700.0,80.0,-690.0,-170.0
190,3,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,5.0,-2895.0,1366.0,604.0,-300.0,1680.0,-2195.0,440.0
192,1,ΕΚΠΑ,3.0,-1416.0,-966.0,-214.0,25.0,-350.0,-545.0,120.0
200,2/3,ΠΑΝ. ΚΡΗΤΗΣ,5.0,-2199.0,5216.0,254.0,330.0,-335.0,1140.0,240.0
201,2,ΕΜΠ,2.0,15.0,676.0,18.0,403.0,-665.0,433.0,823.0
203,2,ΑΠΘ,3.0,383.0,734.0,-379.0,705.0,-555.0,495.0,1205.0
205,2,ΠΑΝ. ΠΑΤΡΩΝ,4.0,190.0,639.0,-294.0,755.0,-465.0,260.0,1775.0
207,2,ΔΠΘ,4.0,158.0,622.0,128.0,376.0,-424.0,312.0,1408.0
208,2,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,4.0,35.0,844.0,-229.0,575.0,-735.0,475.0,1680.0
209,2,ΕΜΠ,1.0,-239.0,492.0,-71.0,358.0,-324.0,-102.0,610.0
210,2,ΠΑΝ. ΔΥΤ. ΜΑΚ.,4.0,-236.0,387.0,-627.0,544.0,-286.0,196.0,984.0
211,2,ΑΠΘ,2.0,-219.0,800.0,-575.0,575.0,-300.0,75.0,700.0
212,2/3/4,ΔΠΘ,6.0,-4487.0,7442.0,103.0,-1375.0,730.0,-310.0,-560.0
213,2,ΠΑΝ. ΠΑΤΡΩΝ,2.0,-311.0,773.0,-443.0,510.0,-640.0,430.0,990.0
214,2,ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ,4.0,-755.0,4429.0,721.0,500.0,425.0,1350.0,-350.0
215,2,ΠΑΝ. ΠΑΤΡΩΝ,3.0,-507.0,651.0,-330.0,857.0,-493.0,240.0,1285.0
216,2/4,ΠΑΝ. ΚΡΗΤΗΣ,3.0,407.0,528.0,14.0,430.0,-234.0,-167.0,221.0
217,2,ΕΜΠ,1.0,-339.0,512.0,-17.0,350.0,-330.0,-100.0,490.0
218,2/4,ΠΑΝ. ΑΙΓΑΙΟΥ,5.0,-1223.0,3872.0,628.0,150.0,250.0,-275.0,-75.0
219,2,ΑΠΘ,1.0,-125.0,546.0,-86.0,350.0,-340.0,40.0,590.0
220,2,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3.0,-14.0,717.0,-627.0,665.0,-680.0,275.0,1015.0
221,2,ΠΑΝ. ΠΑΤΡΩΝ,3.0,-61.0,564.0,-519.0,530.0,-455.0,105.0,945.0
222,2/4,ΠΑΝ. ΑΙΓΑΙΟΥ,4.0,-813.0,2769.0,881.0,125.0,400.0,-50.0,325.0
223,2,ΔΠΘ,4.0,-224.0,539.0,-899.0,610.0,-630.0,190.0,1430.0
224,2/4,ΔΠΘ,4.0,-167.0,484.0,266.0,570.0,-880.0,100.0,1230.0
225,2,ΕΜΠ,4.0,-22.0,1424.0,-309.0,635.0,-200.0,140.0,1100.0
227,2,ΑΠΘ,4.0,134.0,596.0,259.0,380.0,-265.0,-40.0,1225.0
228,2,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,5.0,132.0,1683.0,483.0,847.0,-344.0,284.0,1137.0
229,2,ΕΜΠ,2.0,-318.0,590.0,-55.0,390.0,-490.0,80.0,750.0
230,2/4,ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ,4.0,-636.0,742.0,98.0,-60.0,-100.0,260.0,220.0
231,2,ΕΜΠ,1.0,115.0,764.0,-644.0,665.0,-615.0,1045.0,615.0
232,2,ΠΑΝ. ΠΑΤΡΩΝ,2.0,763.0,2475.0,-830.0,844.0,-300.0,136.0,538.0
233,2,ΑΠΘ,1.0,933.0,-513.0,-302.0,915.0,-620.0,770.0,995.0
234,2,ΔΠΘ,3.0,1102.0,-12335.0,13205.0,1160.0,285.0,925.0,1190.0
235,2,ΕΜΠ,2.0,-479.0,774.0,-204.0,585.0,-645.0,265.0,680.0
236,2,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,2.0,991.0,-883.0,1638.0,1130.0,-585.0,705.0,1125.0
237,2,ΑΠΘ,2.0,-24.0,646.0,-416.0,555.0,-595.0,360.0,765.0
238,2/4,ΠΑΝ. ΑΙΓΑΙΟΥ,3.0,-367.0,2891.0,-1026.0,110.0,560.0,820.0,250.0
239,2,ΠΑΝ. ΠΑΤΡΩΝ,3.0,-218.0,630.0,-515.0,605.0,-690.0,545.0,845.0
240,4,ΟΠΑ,1.0,-59.0,522.0,-497.0,425.0,-175.0,225.0,25.0
241,2,ΕΜΠ,3.0,-536.0,-229.0,-371.0,250.0,-50.0,425.0,900.0
242,2,ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ,5.0,-3413.0,6488.0,142.0,535.0,-445.0,70.0,730.0
243,2,ΕΚΠΑ,2.0,-342.0,396.0,-531.0,585.0,-320.0,95.0,1350.0
