code,field,university,avg_pref_success,diff_14_13,diff_15_14,diff_16_15,diff_17_16,diff_18_17,diff_19_18,diff_20_19,diff_21_20,diff_22_21,diff_23_22,diff_24_23,diff_25_24,diff_26_25
137,1,ΑΠΘ,2.0,-5048.0,-5664.0,5933.0,-824.0,-481.0,292.0,-4227.0,3394.0,431.0,300.0,470.0,-940.0,720.0
138,1,ΠΑΝ. ΚΡΗΤΗΣ,5.0,381.0,-769.0,535.0,244.0,-1260.0,-1908.0,-1288.0,-232.0,967.0,35.0,15.0,-55.0,-235.0
139,1,ΑΠΘ,2.0,-3982.0,-1376.0,55.0,-1646.0,1344.0,-1334.0,2324.0,4443.0,677.0,1040.0,230.0,-650.0,-440.0
140,1/2/3/4,ΑΠΘ,3.0,146.0,-612.0,-2138.0,553.0,1325.0,-211.0,13.0,546.0,-371.0,600.0,50.0,-150.0,-150.0
142,1/2/3/4,ΔΠΘ,4.0,213.0,-3.0,-3249.0,1286.0,1705.0,-651.0,-867.0,835.0,-310.0,600.0,100.0,-25.0,-600.0
143,1/2/3/4,ΠΑΝ. ΑΙΓΑΙΟΥ,5.0,513.0,-216.0,-3097.0,1105.0,1785.0,-905.0,-972.0,629.0,-404.0,800.0,200.0,-250.0,-925.0
144,4,ΧΑΡΟΚΟΠΕΙΟ,4.0,-333.0,892.0,-406.0,-560.0,-219.0,-579.0,721.0,744.0,304.0,303.0,101.0,4.0,57.0
145,1,ΙΟΝΙΟ ΠΑΝ/ΜΙΟ,5.0,433.0,-505.0,471.0,267.0,-1380.0,-1821.0,-1972.0,2338.0,-1393.0,120.0,-140.0,160.0,-160.0
146,1/2/3/4,ΕΚΠΑ,3.0,-328.0,437.0,-139.0,176.0,-435.0,-472.0,-1477.0,3.0,-348.0,-20.0,-590.0,380.0,325.0
147,1,ΑΠΘ,3.0,172.0,-268.0,-183.0,262.0,-32.0,-850.0,-534.0,-432.0,967.0,690.0,-600.0,820.0,-20.0
