code,field,university,avg_pref_success,base_2013,base_2014,base_2015,base_2016,base_2017,base_2018,base_2019,base_2020,base_2021,base_2022,base_2023,base_2024,base_2025,base_2026
328,2/3,ΓΕΩΠΟΝΙΚΟ ΠΑΝ.,5.0,15073.0,15448.0,15055.0,17445.0,17083.0,16631.0,15787.0,14350.0,15296.0,15185.0,14950.0,14720.0,14520.0,14215.0
329,2/4,ΟΠΑ,3.0,12788.0,13277.0,13488.0,13158.0,13511.0,13354.0,13337.0,13425.0,13316.0,13828.0,14268.0,13982.0,14440.0,14940.0
330,2/4,ΕΚΠΑ,2.0,16359.0,17221.0,16707.0,16919.0,16509.0,16552.0,17015.0,16925.0,17537.0,17385.0,17785.0,17075.0,16955.0,17015.0
331,2,ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ,4.0,14452.0,15372.0,15040.0,15632.0,15730.0,15715.0,14880.0,14625.0,15472.0,14077.0,14785.0,14492.0,14648.0,15770.0
332,2,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3.0,16449.0,17654.0,16426.0,16986.0,16455.0,16520.0,16120.0,16025.0,16784.0,16410.0,16720.0,16230.0,16580.0,17770.0
333,2/4,ΟΠΑ,2.0,14926.0,15820.0,15576.0,15520.0,15632.0,15975.0,16433.0,16550.0,17245.0,17150.0,17670.0,17220.0,17590.0,17680.0
334,1/2/3/4,ΠΑΝ. ΔΥΤ. ΜΑΚ.,4.0,13256.0,13514.0,13438.0,10228.0,11444.0,13244.0,12647.0,12075.0,12636.0,12270.0,13020.0,12980.0,12860.0,12430.0
336,2/4,ΠΑΝ. ΠΕΙΡΑΙΑ,5.0,13352.0,13937.0,14304.0,13662.0,13034.0,12739.0,12695.0,13175.0,13100.0,12825.0,13240.0,13460.0,13465.0,13880.0
337,4,ΠΑΝ. ΜΑΚΕΔ.,2.0,16953.0,17063.0,17007.0,16059.0,14756.0,14730.0,14917.0,14725.0,14500.0,14025.0,14275.0,13775.0,13525.0,13800.0
338,2/4,ΑΠΘ,1.0,15529.0,16334.0,16018.0,16039.0,15793.0,16371.0,16653.0,16800.0,17339.0,17090.0,17730.0,17440.0,17720.0,17740.0
339,2/4,ΠΑΝ. ΠΕΙΡΑΙΑ,2.0,14382.0,15255.0,15114.0,15114.0,15165.0,15508.0,15998.0,16150.0,16799.0,16605.0,17220.0,16740.0,16935.0,16870.0
340,2,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,13719.0,14342.0,14405.0,13827.0,13647.0,13501.0,12386.0,12425.0,12620.0,14243.0,14762.0,14761.0,13355.0,14368.0
341,1/2/3/4,ΠΑΝ. ΔΥΤ. ΜΑΚ.,5.0,12004.0,12652.0,12525.0,8782.0,10351.0,12289.0,11408.0,10200.0,10719.0,10450.0,11150.0,11200.0,10975.0,10675.0
342,1/4,ΙΟΝΙΟ ΠΑΝ/ΜΙΟ,6.0,10490.0,11151.0,11028.0,11352.0,11652.0,10862.0,9279.0,7425.0,8573.0,9260.0,9700.0,9190.0,8525.0,8325.0
344,2/4,ΠΑΝ. ΑΙΓΑΙΟΥ,4.0,9811.0,10562.0,10751.0,9823.0,10597.0,9467.0,6160.0,3150.0,9203.0,9305.0,9985.0,9800.0,9660.0,11070.0
345,4,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,3.0,12667.0,13209.0,13402.0,12759.0,11581.0,11356.0,11023.0,11925.0,11395.0,11850.0,11475.0,11375.0,11450.0,11225.0
347,4,ΟΠΑ,2.0,16838.0,17775.0,17257.0,16863.0,15955.0,15854.0,16371.0,16325.0,16509.0,15695.0,16200.0,15340.0,15775.0,15925.0
348,1,ΠΑΝ. ΑΙΓΑΙΟΥ,5.0,11286.0,12073.0,11523.0,12010.0,12376.0,11689.0,11187.0,9125.0,8865.0,8940.0,9180.0,8840.0,8560.0,8840.0
350,4,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3.0,12978.0,13458.0,13804.0,13165.0,11676.0,11840.0,11703.0,12625.0,11995.0,12186.0,12247.0,11795.0,11851.0,11802.0
